regime,seed,epoch,frac_clipped_train,frac_clipped_val,proxy_worst_loss,proxy_worst_loss_clip,proxy_worst_acc,val_overall_acc,val_overall_loss,oracle_wg_acc,tail_within_cvar,tail_worst_cvar,tail_worst_loss
erm_softclip_p95_a10_cam,9,29,0.03174886587575553,0.0895,1.5882227293701852,0.5456443508007998,0.5408602150537634,0.9115,0.357770153670146,0.9004830917874396,0.5437316155255678,12.392940998077393,8.821852661669254
erm_softclip_p97_a10_cam,0,15,0.02730495046885953,0.075,1.2548273635163818,0.6709400228510771,0.5247311827956989,0.913,0.3104791268957447,0.910144927536232,0.49111375299172577,10.463262557983398,7.394141882658005
erm_softclip_p97_a10_cam,1,13,0.027797616685844278,0.076,1.2100110644602307,0.6738798499885796,0.5004887585532747,0.911,0.3056662560941863,0.9091787439613528,0.4951655242864671,10.364320278167725,7.216293893754482
erm_softclip_p97_a10_cam,2,20,0.026223729979235277,0.076,1.3901601365078315,0.6643438255090449,0.5,0.912,0.3251302031388886,0.9043478260869564,0.502023673531148,11.051308393478394,7.846298418939114
erm_softclip_p97_a10_cam,3,20,0.026306392096179028,0.077,1.4290836644764195,0.6652765269217535,0.48387096774193544,0.9095,0.3293467115333973,0.8975845410628019,0.5196293669481027,11.189070224761965,7.861498422920704
erm_softclip_p97_a10_cam,4,20,0.026233649433268526,0.0745,1.3526611067819716,0.6713611120112559,0.5,0.9135,0.3233992847322636,0.9091787439613528,0.4973605906267478,11.083288431167604,7.861799918115139
erm_softclip_p97_a10_cam,5,15,0.027212368897882526,0.076,1.2575272162783495,0.6588276461414693,0.5247311827956989,0.9135,0.3121423087343095,0.9082125603864736,0.4956642776291422,10.608497619628906,7.4396230317652225
erm_softclip_p97_a10_cam,6,26,0.025734370246928276,0.0765,1.4931025388854011,0.6685701340604153,0.5408602150537634,0.913,0.3380669884989472,0.9043478260869564,0.5137146430512873,11.520555019378662,8.253883980214596
erm_softclip_p97_a10_cam,7,22,0.026078244653414275,0.077,1.4673173504109527,0.6647667943247912,0.4838709677419355,0.9105,0.3330568035559169,0.8995169082125604,0.5240125437767986,11.367615699768066,7.9897758811712265
erm_softclip_p97_a10_cam,8,17,0.026676718380087026,0.074,1.2631385650105211,0.667473350060115,0.5161290322580645,0.912,0.3124055046274167,0.9088082901554404,0.47986644410683515,10.614202976226808,7.591470405459404
erm_softclip_p97_a10_cam,9,25,0.025793886971127777,0.076,1.5106000815216991,0.6728723395082911,0.48387096774193544,0.91,0.3359921607920778,0.8966183574879227,0.5248863456829358,11.330313444137571,8.008479937911034
erm_softclip_p99_a10_cam,0,6,0.014168286844158764,0.038,0.854173900347243,0.8267863940183746,0.46774193548387094,0.907,0.2548504314752029,0.900518134715026,0.4349512930210149,7.772567629814148,5.210171185433865
erm_softclip_p99_a10_cam,1,5,0.014489015857900514,0.0385,0.8731785019719472,0.8198147025554906,0.4516129032258064,0.906,0.252386333118808,0.900518134715026,0.4475534040405438,7.4922953844070435,4.984316844493151
erm_softclip_p99_a10_cam,2,6,0.014194738721580764,0.038,0.8891531304806791,0.8387286707615251,0.4354838709677419,0.905,0.256780197483864,0.9025906735751296,0.43993286462516074,7.751989960670471,5.193362923339009
erm_softclip_p99_a10_cam,3,6,0.014274094353846764,0.036,0.852374943373825,0.8183040547803802,0.4838709677419355,0.911,0.2552258701987201,0.8994818652849741,0.43332257222397763,7.720077276229858,5.249354515224695
erm_softclip_p99_a10_cam,4,4,0.014627888214366015,0.0355,0.9069877665029258,0.8343310217079207,0.3870967741935484,0.904,0.2524552661798144,0.8974093264248705,0.47554024519241445,7.329816579818726,4.794970083981752
erm_softclip_p99_a10_cam,5,6,0.014274094353846764,0.0385,0.8824839326643175,0.8385472907511049,0.4354838709677419,0.9065,0.2585911629476368,0.9015544041450776,0.4431006181968111,7.892637014389038,5.30743114463985
erm_softclip_p99_a10_cam,6,8,0.014019495033660014,0.036,0.8639955472581649,0.8237433263476436,0.5,0.912,0.2597275017006997,0.9046632124352332,0.4136528738693048,8.047061920166016,5.561221122741699
erm_softclip_p99_a10_cam,7,5,0.014482402888545014,0.0385,0.8805024892912918,0.8291300157722519,0.4516129032258064,0.907,0.2539338067879614,0.8994818652849741,0.4533815005809033,7.541601777076721,5.026032220572233
