epoch,regime,seed,tag,test_acc,test_hosp_2_acc,test_hosp_2_loss,test_loss,test_worst_domain_acc,test_worst_domain_loss,val_acc,val_hosp_1_acc,val_hosp_1_loss,val_loss,val_worst_domain_acc,val_worst_domain_loss
5,erm_softclip_p95_a10_cam,7,h0_do0.0_lr0.001_wd0.0001_bs512_ep30_v11ermsoftclipfix_cam_10s,0.917617043290145,0.917617043290145,0.24467752220194805,0.24467752220194805,0.917617043290145,0.24467752220194805,0.9034494613797845,0.9034494613797845,0.29330037458125835,0.29330037458125835,0.9034494613797845,0.29330037458125835
11,erm_softclip_p95_a10_cam,8,h0_do0.0_lr0.001_wd0.0001_bs512_ep30_v11ermsoftclipfix_cam_10s,0.9211912432101959,0.9211912432101959,0.25339724561693644,0.25339724561693644,0.9211912432101959,0.25339724561693644,0.9080048132019253,0.9080048132019253,0.3060037444661212,0.3060037444661212,0.9080048132019253,0.3060037444661212
4,erm_softclip_p95_a10_cam,8,h0_do0.0_lr0.001_wd0.0001_bs512_ep30_v11ermsoftclipfix_cam_10s,0.9135490394337715,0.9135490394337715,0.24601449451954213,0.24601449451954213,0.9135490394337715,0.24601449451954213,0.9002979601191841,0.9002979601191841,0.28889750551270565,0.28889750551270565,0.9002979601191841,0.28889750551270565
29,erm_softclip_p95_a10_cam,9,h0_do0.0_lr0.001_wd0.0001_bs512_ep30_v11ermsoftclipfix_cam_10s,0.9173701413219837,0.9173701413219837,0.2899748536986462,0.2899748536986462,0.9173701413219837,0.2899748536986462,0.9066869126747651,0.9066869126747651,0.35024284173224807,0.35024284173224807,0.9066869126747651,0.35024284173224807
4,erm_softclip_p95_a10_cam,9,h0_do0.0_lr0.001_wd0.0001_bs512_ep30_v11ermsoftclipfix_cam_10s,0.9134549815411386,0.9134549815411386,0.2487976257267663,0.2487976257267663,0.9134549815411386,0.2487976257267663,0.9005558102223241,0.9005558102223241,0.28982042023503385,0.28982042023503385,0.9005558102223241,0.28982042023503385
15,erm_softclip_p97_a10_cam,0,h0_do0.0_lr0.001_wd0.0001_bs512_ep30_v11ermsoftclipfix_cam_10s,0.9172408117196135,0.9172408117196135,0.2585501081207988,0.2585501081207988,0.9172408117196135,0.2585501081207988,0.9080621132248453,0.9080621132248453,0.30362363957838295,0.30362363957838295,0.9080621132248453,0.30362363957838295
5,erm_softclip_p97_a10_cam,0,h0_do0.0_lr0.001_wd0.0001_bs512_ep30_v11ermsoftclipfix_cam_10s,0.9155595268888,0.9155595268888,0.2388621151906271,0.2388621151906271,0.9155595268888,0.2388621151906271,0.9047387118954847,0.9047387118954847,0.2749010394600138,0.2749010394600138,0.9047387118954847,0.2749010394600138
13,erm_softclip_p97_a10_cam,1,h0_do0.0_lr0.001_wd0.0001_bs512_ep30_v11ermsoftclipfix_cam_10s,0.9173818985585628,0.9173818985585628,0.2516157051491093,0.2516157051491093,0.9173818985585628,0.2516157051491093,0.9085778134311254,0.9085778134311254,0.2966632181936646,0.2966632181936646,0.9085778134311254,0.2966632181936646
5,erm_softclip_p97_a10_cam,1,h0_do0.0_lr0.001_wd0.0001_bs512_ep30_v11ermsoftclipfix_cam_10s,0.9152891104474804,0.9152891104474804,0.23822180286228084,0.23822180286228084,0.9152891104474804,0.23822180286228084,0.9054549621819848,0.9054549621819848,0.27184184173149606,0.27184184173149606,0.9054549621819848,0.27184184173149606
20,erm_softclip_p97_a10_cam,2,h0_do0.0_lr0.001_wd0.0001_bs512_ep30_v11ermsoftclipfix_cam_10s,0.918334234721471,0.918334234721471,0.26467727013069875,0.26467727013069875,0.918334234721471,0.26467727013069875,0.9077469630987852,0.9077469630987852,0.31658326446126667,0.31658326446126667,0.9077469630987852,0.31658326446126667
3,erm_softclip_p97_a10_cam,2,h0_do0.0_lr0.001_wd0.0001_bs512_ep30_v11ermsoftclipfix_cam_10s,0.910209984245303,0.910209984245303,0.24141882994475083,0.24141882994475083,0.910209984245303,0.24141882994475083,0.900040110016044,0.900040110016044,0.2717429985081752,0.2717429985081752,0.900040110016044,0.2717429985081752
20,erm_softclip_p97_a10_cam,3,h0_do0.0_lr0.001_wd0.0001_bs512_ep30_v11ermsoftclipfix_cam_10s,0.916794036729607,0.916794036729607,0.2676020212165898,0.2676020212165898,0.916794036729607,0.2676020212165898,0.9073458629383452,0.9073458629383452,0.3197829501460927,0.3197829501460927,0.9073458629383452,0.3197829501460927
5,erm_softclip_p97_a10_cam,3,h0_do0.0_lr0.001_wd0.0001_bs512_ep30_v11ermsoftclipfix_cam_10s,0.9135843111435088,0.9135843111435088,0.242840527468947,0.242840527468947,0.9135843111435088,0.242840527468947,0.9056268622507448,0.9056268622507448,0.27009882225110243,0.27009882225110243,0.9056268622507448,0.27009882225110243
20,erm_softclip_p97_a10_cam,4,h0_do0.0_lr0.001_wd0.0001_bs512_ep30_v11ermsoftclipfix_cam_10s,0.9185811366896325,0.9185811366896325,0.26568022648388695,0.26568022648388695,0.9185811366896325,0.26568022648388695,0.9084345633738253,0.9084345633738253,0.3166332166341425,0.3166332166341425,0.9084345633738253,0.3166332166341425
5,erm_softclip_p97_a10_cam,4,h0_do0.0_lr0.001_wd0.0001_bs512_ep30_v11ermsoftclipfix_cam_10s,0.9141016295529899,0.9141016295529899,0.24123928725016636,0.24123928725016636,0.9141016295529899,0.24123928725016636,0.9052544121017648,0.9052544121017648,0.2726634188707165,0.2726634188707165,0.9052544121017648,0.2726634188707165
15,erm_softclip_p97_a10_cam,5,h0_do0.0_lr0.001_wd0.0001_bs512_ep30_v11ermsoftclipfix_cam_10s,0.9190396689162179,0.9190396689162179,0.2533807220422097,0.2533807220422097,0.9190396689162179,0.2533807220422097,0.9084059133623653,0.9084059133623653,0.3035251931168306,0.3035251931168306,0.9084059133623653,0.3035251931168306
3,erm_softclip_p97_a10_cam,5,h0_do0.0_lr0.001_wd0.0001_bs512_ep30_v11ermsoftclipfix_cam_10s,0.9096456368895055,0.9096456368895055,0.2426345241699917,0.2426345241699917,0.9096456368895055,0.2426345241699917,0.8997249598899839,0.8997249598899839,0.2721825100647071,0.2721825100647071,0.8997249598899839,0.2721825100647071
