dataset,regime,seed,tag,epoch,val_overall_acc,val_overall_loss,val_brier,val_ece,val_worst_domain_brier,val_worst_domain_ece
camelyon17,rcgdro_finetune,3,finetune_lr0.0001_bs128_ep10_frac0.2_scivalid10s,2,0.9365,0.22893537999748584,0.05211637293181079,0.030156232508902005,0.05211637293181079,0.030156232508902005
camelyon17,rcgdro_softclip_p95_a10_cam_finetune,3,finetune_lr0.0001_bs128_ep10_frac0.2_scivalid10s,1,0.9255,0.307449110928965,0.06298654423041558,0.04973455186945078,0.06298654423041558,0.04973455186945078
camelyon17,rcgdro_softclip_p95_a10_cam_finetune,3,finetune_lr0.0001_bs128_ep10_frac0.2_scivalid10s,1,0.9255,0.307449110928965,0.06298654423041558,0.04973455186945078,0.06298654423041558,0.04973455186945078
camelyon17,rcgdro_finetune,3,finetune_lr0.0001_bs128_ep10_frac0.2_scivalid10s,2,0.9365,0.22893537999748584,0.05211637293181079,0.030156232508902005,0.05211637293181079,0.030156232508902005
camelyon17,rcgdro_finetune,4,finetune_lr0.0001_bs128_ep10_frac0.2_scivalid10s,1,0.927,0.2333831766506598,0.058158657563870696,0.034325488862489845,0.058158657563870696,0.034325488862489845
camelyon17,rcgdro_softclip_p95_a10_cam_finetune,4,finetune_lr0.0001_bs128_ep10_frac0.2_scivalid10s,6,0.9315,0.4584503175516534,0.06123685427714157,0.05817787785804263,0.06123685427714157,0.05817787785804263
camelyon17,rcgdro_softclip_p95_a10_cam_finetune,4,finetune_lr0.0001_bs128_ep10_frac0.2_scivalid10s,6,0.9315,0.4584503175516534,0.06123685427714157,0.05817787785804263,0.06123685427714157,0.05817787785804263
camelyon17,rcgdro_finetune,4,finetune_lr0.0001_bs128_ep10_frac0.2_scivalid10s,1,0.927,0.2333831766506598,0.058158657563870696,0.034325488862489845,0.058158657563870696,0.034325488862489845
camelyon17,rcgdro_finetune,5,finetune_lr0.0001_bs128_ep10_frac0.2_scivalid10s,1,0.9245,0.2242439570488361,0.05818034614738985,0.027424866193128228,0.05818034614738985,0.027424866193128228
camelyon17,rcgdro_softclip_p95_a10_cam_finetune,5,finetune_lr0.0001_bs128_ep10_frac0.2_scivalid10s,2,0.9385,0.27174213620668697,0.053891249850050185,0.04337185639654749,0.053891249850050185,0.04337185639654749
camelyon17,rcgdro_softclip_p95_a10_cam_finetune,5,finetune_lr0.0001_bs128_ep10_frac0.2_scivalid10s,2,0.9385,0.27174213620668697,0.053891249850050185,0.04337185639654749,0.053891249850050185,0.04337185639654749
camelyon17,rcgdro_softclip_p95_a10_cam_finetune,5,finetune_lr0.0001_bs128_ep10_frac0.2_scivalid10s,2,0.9385,0.27174213620668697,0.053891249850050185,0.04337185639654749,0.053891249850050185,0.04337185639654749
camelyon17,rcgdro_finetune,6,finetune_lr0.0001_bs128_ep10_frac0.2_scivalid10s,2,0.9175,0.25538265141980887,0.06361488531823124,0.04108508214954773,0.06361488531823124,0.04108508214954773
camelyon17,rcgdro_softclip_p95_a10_cam_finetune,6,finetune_lr0.0001_bs128_ep10_frac0.2_scivalid10s,2,0.936,0.29451759836560065,0.0547900751567459,0.0417216067274168,0.0547900751567459,0.0417216067274168
camelyon17,rcgdro_softclip_p95_a10_cam_finetune,6,finetune_lr0.0001_bs128_ep10_frac0.2_scivalid10s,2,0.936,0.29451759836560065,0.0547900751567459,0.0417216067274168,0.0547900751567459,0.0417216067274168
camelyon17,rcgdro_softclip_p95_a10_cam_finetune,6,finetune_lr0.0001_bs128_ep10_frac0.2_scivalid10s,2,0.936,0.29451759836560065,0.0547900751567459,0.0417216067274168,0.0547900751567459,0.0417216067274168
