selection_mode,selection_policy,regime,seed,tag,epoch,val_overall_loss,val_overall_acc,proxy_metric,proxy_metric_name,bootstrap_rw,bootstrap_rw_early_mean,fallback_to_baseline,guardrail_budget_rho,guardrail_threshold,oracle_target_metric
selected_best_proxy,val_loss_only,erm_bootstrap_h60_cam,6,h0_do0.0_lr0.001_wd0.0001_bs512_ep30_v30boot_hard_b60_cam_3s,4,0.2421755019747813,0.9075,0.643257343537408,bootstrap_proxy_worst_loss,0.5776616699141077,0.6033839347533685,,,,
selected_best_proxy,guardrail,erm_bootstrap_h60_cam,6,h0_do0.0_lr0.001_wd0.0001_bs512_ep30_v30boot_hard_b60_cam_3s,6,0.2443957982720949,0.911,0.6418893094338356,bootstrap_proxy_worst_loss,0.5690256850891331,0.6033839347533685,0.0,1.25,0.29255455155363913,
selected_best_proxy,oracle_loss,erm_bootstrap_h60_cam,6,h0_do0.0_lr0.001_wd0.0001_bs512_ep30_v30boot_hard_b60_cam_3s,5,0.2498498928625037,0.9095,0.6531147705410278,bootstrap_proxy_worst_loss,0.5910304864631092,0.6033839347533685,,,,test_hosp_2_loss
selected_best_proxy,baseline,erm,7,h0_do0.0_lr0.001_wd0.0001_bs512_ep30_v11ermsoftclipfix_cam_10s,5,0.2371885478270825,0.9095,0.7606057043758131,proxy_worst_loss_min,,,,,,
selected_best_proxy,proxy_only,erm_bootstrap_h60_cam,7,h0_do0.0_lr0.001_wd0.0001_bs512_ep30_v30boot_hard_b60_cam_3s,20,0.2688632566060731,0.912,0.6477395020612036,bootstrap_proxy_worst_loss,0.5684481322720445,0.616376788217867,,,,
selected_best_proxy,val_loss_only,erm_bootstrap_h60_cam,7,h0_do0.0_lr0.001_wd0.0001_bs512_ep30_v30boot_hard_b60_cam_3s,3,0.2433052290360333,0.907,0.6684034111604219,bootstrap_proxy_worst_loss,0.6149496983666739,0.616376788217867,,,,
selected_best_proxy,guardrail,erm_bootstrap_h60_cam,7,h0_do0.0_lr0.001_wd0.0001_bs512_ep30_v30boot_hard_b60_cam_3s,20,0.2688632566060731,0.912,0.6477395020612036,bootstrap_proxy_worst_loss,0.5684481322720445,0.616376788217867,0.0,1.25,0.2964856847838531,
selected_best_proxy,oracle_loss,erm_bootstrap_h60_cam,7,h0_do0.0_lr0.001_wd0.0001_bs512_ep30_v30boot_hard_b60_cam_3s,5,0.2464126754323514,0.908,0.6494240874547913,bootstrap_proxy_worst_loss,0.5829955828679246,0.616376788217867,,,,test_hosp_2_loss
selected_best_proxy,baseline,erm,8,h0_do0.0_lr0.001_wd0.0001_bs512_ep30_v11ermsoftclipfix_cam_10s,6,0.2363274751983838,0.909,0.7702622462905222,proxy_worst_loss_min,,,,,,
selected_best_proxy,proxy_only,erm_bootstrap_h60_cam,8,h0_do0.0_lr0.001_wd0.0001_bs512_ep30_v30boot_hard_b60_cam_3s,6,0.245735214838825,0.9085,0.6437166180766274,bootstrap_proxy_worst_loss,0.5690635050021474,0.6069621043991196,,,,
selected_best_proxy,val_loss_only,erm_bootstrap_h60_cam,8,h0_do0.0_lr0.001_wd0.0001_bs512_ep30_v30boot_hard_b60_cam_3s,4,0.2437536283095053,0.9045,0.6462121317491007,bootstrap_proxy_worst_loss,0.5786568931930559,0.6069621043991196,,,,
selected_best_proxy,guardrail,erm_bootstrap_h60_cam,8,h0_do0.0_lr0.001_wd0.0001_bs512_ep30_v30boot_hard_b60_cam_3s,6,0.245735214838825,0.9085,0.6437166180766274,bootstrap_proxy_worst_loss,0.5690635050021474,0.6069621043991196,0.0,1.25,0.29540934399797975,
selected_best_proxy,oracle_loss,erm_bootstrap_h60_cam,8,h0_do0.0_lr0.001_wd0.0001_bs512_ep30_v30boot_hard_b60_cam_3s,7,0.2497134378155467,0.909,0.6478100359130144,bootstrap_proxy_worst_loss,0.564065674071068,0.6069621043991196,,,,test_hosp_2_loss
selected_best_proxy,baseline,erm,9,h0_do0.0_lr0.001_wd0.0001_bs512_ep30_v11ermsoftclipfix_cam_10s,7,0.2386477065822012,0.9115,0.7517789807210686,proxy_worst_loss_min,,,,,,
selected_best_proxy,proxy_only,erm_bootstrap_h60_cam,9,h0_do0.0_lr0.001_wd0.0001_bs512_ep30_v30boot_hard_b60_cam_3s,16,0.2713879771749683,0.9115,0.6393402359708562,bootstrap_proxy_worst_loss,0.5605974270730952,0.6037989862710935,,,,
selected_best_proxy,val_loss_only,erm_bootstrap_h60_cam,9,h0_do0.0_lr0.001_wd0.0001_bs512_ep30_v30boot_hard_b60_cam_3s,3,0.2465324796639894,0.9055,0.6639563463164211,bootstrap_proxy_worst_loss,0.5968418657999168,0.6037989862710935,,,,
selected_best_proxy,guardrail,erm_bootstrap_h60_cam,9,h0_do0.0_lr0.001_wd0.0001_bs512_ep30_v30boot_hard_b60_cam_3s,16,0.2713879771749683,0.9115,0.6393402359708562,bootstrap_proxy_worst_loss,0.5605974270730952,0.6037989862710935,0.0,1.25,0.2983096332277515,
selected_best_proxy,oracle_loss,erm_bootstrap_h60_cam,9,h0_do0.0_lr0.001_wd0.0001_bs512_ep30_v30boot_hard_b60_cam_3s,7,0.2496067863839676,0.911,0.6540474762710198,bootstrap_proxy_worst_loss,0.567625682953491,0.6037989862710935,,,,test_hosp_2_loss
