fold,holdout_hospital,seed,level,contrast,proxy_epoch,other_epoch,delta_proxy_metric,delta_val_overall_loss,delta_loss,delta_acc,delta_brier,delta_ece
camelyon17_loo_h0,0,8,P97,same trajectory: proxy - val-loss,9,21,-0.045941663580880365,0.00409452932873558,0.0012289257707980006,-0.002077678989237386,0.0016254155474638987,0.0004561805585102975
camelyon17_loo_h0,0,9,P97,same trajectory: proxy - val-loss,18,11,-0.13957316654412122,0.01490537129818309,0.013505018948333086,-0.0032756200280767978,0.0031390039094784036,-0.007450136658424901
camelyon17_loo_h1,1,0,P97,same trajectory: proxy - val-loss,23,8,-0.00543339587701297,0.016228996678028185,0.04027049131163943,-0.006045152418061028,0.0064037997215311004,0.0352523258303881
camelyon17_loo_h1,1,1,P97,same trajectory: proxy - val-loss,4,4,0.0,0.0,0.0,0.0,0.0,0.0
camelyon17_loo_h1,1,2,P97,same trajectory: proxy - val-loss,6,11,-0.03421251496365718,0.03556030445628272,0.035393071469864285,-0.006446252578501066,0.008167161514218702,-0.0046765336304890985
camelyon17_loo_h1,1,3,P97,same trajectory: proxy - val-loss,23,18,-0.056242548735502385,0.01043911272473369,-0.00021520410394890166,0.004383451753380618,-0.0016837400458651064,-0.0080344271606444
camelyon17_loo_h1,1,4,P97,same trajectory: proxy - val-loss,13,13,0.0,0.0,0.0,0.0,0.0,0.0
camelyon17_loo_h1,1,5,P97,same trajectory: proxy - val-loss,6,8,-0.06761885599611384,0.0057984542036689235,-0.00022121498211941093,0.0,-0.000768753536205688,0.007491939675143
camelyon17_loo_h1,1,6,P97,same trajectory: proxy - val-loss,6,6,0.0,0.0,0.0,0.0,0.0,0.0
camelyon17_loo_h1,1,7,P97,same trajectory: proxy - val-loss,18,8,-0.01969964503468402,0.06501252741052888,0.08380845309923429,-0.02108640843456322,0.018210229334377603,0.030268767631025907
camelyon17_loo_h1,1,8,P97,same trajectory: proxy - val-loss,29,29,0.0,0.0,0.0,0.0,0.0,0.0
camelyon17_loo_h1,1,9,P97,same trajectory: proxy - val-loss,15,8,-0.011222707660186071,0.01646762136631308,0.030811742422253013,-0.00254985101994043,0.0037173745661694957,0.0239130834185639
camelyon17_loo_h2,2,0,P97,same trajectory: proxy - val-loss,23,4,-0.04035894749113156,0.04579272344576141,0.040517504640247615,-0.00918240176828844,0.007554810821224396,0.025416918804609397
camelyon17_loo_h2,2,1,P97,same trajectory: proxy - val-loss,26,26,0.0,0.0,0.0,0.0,0.0,0.0
camelyon17_loo_h2,2,2,P97,same trajectory: proxy - val-loss,26,26,0.0,0.0,0.0,0.0,0.0,0.0
camelyon17_loo_h2,2,3,P97,same trajectory: proxy - val-loss,3,12,-0.0371246926996881,0.01609596903496399,0.012176464385963398,0.001469654572389456,0.0009109087966032992,1.0319374948900006e-05
camelyon17_loo_h2,2,4,P97,same trajectory: proxy - val-loss,7,5,-0.07145941197001171,0.017043748257103003,0.018020201445565598,-0.00011757236579124086,0.0014961749105749933,0.011404939569003701
camelyon17_loo_h2,2,5,P97,same trajectory: proxy - val-loss,5,5,0.0,0.0,0.0,0.0,0.0,0.0
camelyon17_loo_h2,2,6,P97,same trajectory: proxy - val-loss,19,18,-0.10242784843038388,0.009062486932055608,0.007487215742491893,0.005878618289557158,-0.0024485222506811094,0.0100820410995777
camelyon17_loo_h2,2,7,P97,same trajectory: proxy - val-loss,3,12,-0.08127756337944736,0.0013420880597667106,-0.003712510786531592,0.00803019258353499,-0.004303867678269506,-0.003661679244672301
camelyon17_loo_h2,2,8,P97,same trajectory: proxy - val-loss,1,8,-0.04712829725793277,0.018893886574692598,0.017905218017598895,-0.006066734074823055,0.0048812028217858905,-0.0008468703726507987
camelyon17_loo_h2,2,9,P97,same trajectory: proxy - val-loss,22,1,-0.005011885342720901,0.013318364579216091,0.011302558796877499,0.0038328591247913657,-0.0014659986099386998,0.010609738386107601
camelyon17_loo_h3,3,0,P97,same trajectory: proxy - val-loss,9,21,-0.03796596977500177,0.0009453493532030066,-0.0008993712660630981,0.0007695004232252112,-0.0008142601682643025,-0.0037542682890415995
camelyon17_loo_h3,3,1,P97,same trajectory: proxy - val-loss,10,10,0.0,0.0,0.0,0.0,0.0,0.0
camelyon17_loo_h3,3,2,P97,same trajectory: proxy - val-loss,10,10,0.0,0.0,0.0,0.0,0.0,0.0
camelyon17_loo_h3,3,3,P97,same trajectory: proxy - val-loss,14,14,0.0,0.0,0.0,0.0,0.0,0.0
camelyon17_loo_h3,3,4,P97,same trajectory: proxy - val-loss,2,12,-0.043470989232164525,0.03867953216309039,0.03935687373827371,-0.0021033011568155624,0.006257824936616203,0.007166764541945703
camelyon17_loo_h3,3,5,P97,same trajectory: proxy - val-loss,12,10,-0.015870591463860717,0.0055712953812079025,0.007716720266761207,0.0006070503338778677,-0.00011378120481519982,0.0005063960180810012
camelyon17_loo_h3,3,6,P97,same trajectory: proxy - val-loss,19,19,0.0,0.0,0.0,0.0,0.0,0.0
camelyon17_loo_h3,3,7,P97,same trajectory: proxy - val-loss,2,7,-0.0281137357114859,0.059318107004358994,0.058031935954814096,-0.0020691011380056246,0.0078656384921659,0.0246301039167361
camelyon17_loo_h3,3,8,P97,same trajectory: proxy - val-loss,11,13,-0.024596339546971824,0.0014410209940469154,0.0003841138758794993,0.0009063004984651846,-0.0010694220893503956,-0.004023738794511499
camelyon17_loo_h3,3,9,P97,same trajectory: proxy - val-loss,9,9,0.0,0.0,0.0,0.0,0.0,0.0
camelyon17_loo_h4,4,0,P97,same trajectory: proxy - val-loss,1,19,-0.04436822771026816,0.03844438760973029,0.037122830575811505,-0.018386696150001658,0.013529304031443791,0.0198952651577559
camelyon17_loo_h4,4,1,P97,same trajectory: proxy - val-loss,7,16,-0.04295272180150933,0.009934049257136895,0.007407417608489092,0.0042407536425044245,-0.00039402575745450114,0.031004460327991003
camelyon17_loo_h4,4,2,P97,same trajectory: proxy - val-loss,24,3,-0.03453975876735127,0.006526729582224111,0.012659789203840116,-0.003930269893678395,0.0033321066081091963,-0.0107266488145921
camelyon17_loo_h4,4,3,P97,same trajectory: proxy - val-loss,5,5,0.0,0.0,0.0,0.0,0.0,0.0
camelyon17_loo_h4,4,4,P97,same trajectory: proxy - val-loss,9,11,-0.03315987686956423,0.003727647478462409,-0.0004109113454338065,-0.0007724229848845576,-5.6503199823976225e-06,0.0037464375244623998
camelyon17_loo_h4,4,5,P97,same trajectory: proxy - val-loss,11,11,0.0,0.0,0.0,0.0,0.0,0.0
camelyon17_loo_h4,4,6,P97,same trajectory: proxy - val-loss,3,3,0.0,0.0,0.0,0.0,0.0,0.0
camelyon17_loo_h4,4,7,P97,same trajectory: proxy - val-loss,10,10,0.0,0.0,0.0,0.0,0.0,0.0
camelyon17_loo_h4,4,8,P97,same trajectory: proxy - val-loss,26,20,-0.025745064570025677,0.0098604688959949,0.009904847900318009,-0.002468724441886616,0.0021062790057927994,0.0051005563766181004
camelyon17_loo_h4,4,9,P97,same trajectory: proxy - val-loss,8,8,0.0,0.0,0.0,0.0,0.0,0.0
camelyon17_loo_h0,0,0,P99,same trajectory: proxy - val-loss,4,29,-0.05600688671693199,0.0422184038717589,0.0288225298835538,-0.0005615348619559812,0.0070027227043990975,0.0395047338822947
camelyon17_loo_h0,0,1,P99,same trajectory: proxy - val-loss,26,28,-0.05147802010210456,0.011154604638681204,0.007828457103166903,-0.00164716892840433,0.0018033510023102994,-0.002353814205096401
camelyon17_loo_h0,0,2,P99,same trajectory: proxy - val-loss,24,19,-0.1115451932905025,0.023884853215000112,0.009387140857978177,-0.00037435657463735783,0.0012221637702511945,-0.0056374155731612995
camelyon17_loo_h0,0,3,P99,same trajectory: proxy - val-loss,22,22,0.0,0.0,0.0,0.0,0.0,0.0
camelyon17_loo_h0,0,4,P99,same trajectory: proxy - val-loss,11,10,-0.02977503679364113,0.0162651241860651,0.01945455017575129,-0.008890968647636832,0.006292002333390501,-0.0020392267274217005
camelyon17_loo_h0,0,5,P99,same trajectory: proxy - val-loss,29,29,0.0,0.0,0.0,0.0,0.0,0.0
camelyon17_loo_h0,0,6,P99,same trajectory: proxy - val-loss,23,27,-0.019923339878234136,0.005095090999877316,0.005013599517376288,-0.0028638277959757152,0.0023247557401265967,-0.0021583181781125995
camelyon17_loo_h0,0,7,P99,same trajectory: proxy - val-loss,19,13,-0.031109736118578257,0.050153284202904214,0.0363063060630168,-0.005559195133364558,0.006440503193977799,0.010993762282009899
camelyon17_loo_h0,0,8,P99,same trajectory: proxy - val-loss,6,20,-0.05696456071770939,0.05498338581173942,0.0373783164467473,-0.008086102012166418,0.008450179518333503,0.0083993438449237
camelyon17_loo_h0,0,9,P99,same trajectory: proxy - val-loss,23,25,-0.03292649071759279,0.0004341995098917917,0.0014349540086032175,-0.00026204960224596174,0.00033968725619350215,0.0019283749274350004
camelyon17_loo_h1,1,0,P99,same trajectory: proxy - val-loss,2,19,-0.07057656941009915,0.027097747045149112,-0.0038907914190475235,-0.004211551684620729,0.002570664833265804,-0.0131386808138702
camelyon17_loo_h1,1,1,P99,same trajectory: proxy - val-loss,2,21,-0.06782740540776655,0.02379632663352041,0.023408513250762902,-0.0075636030254412345,0.007029029948678697,0.022319375062818
camelyon17_loo_h1,1,2,P99,same trajectory: proxy - val-loss,3,12,-0.05385961690861141,0.006698001128319697,0.006289183792255015,-0.0041829016731608215,0.0019116018216701058,0.0009618041103769993
camelyon17_loo_h1,1,3,P99,same trajectory: proxy - val-loss,3,30,-0.04070538447247907,0.016976207956020783,0.013753225592897406,-0.0028363511345403936,0.0037181078942220003,0.0227828194696922
camelyon17_loo_h1,1,4,P99,same trajectory: proxy - val-loss,3,3,0.0,0.0,0.0,0.0,0.0,0.0
camelyon17_loo_h1,1,5,P99,same trajectory: proxy - val-loss,3,3,0.0,0.0,0.0,0.0,0.0,0.0
camelyon17_loo_h1,1,6,P99,same trajectory: proxy - val-loss,28,28,0.0,0.0,0.0,0.0,0.0,0.0
camelyon17_loo_h1,1,7,P99,same trajectory: proxy - val-loss,3,21,-0.014624111367045223,0.020499245949156114,0.017268539369665215,-0.0035526014210404133,0.004380297257676205,0.0294005181006959
camelyon17_loo_h1,1,8,P99,same trajectory: proxy - val-loss,27,24,-0.013559692286383873,0.010279753811062914,0.008728899965973286,-0.0032947513179005794,0.0035656983721910895,-0.0129969696519657
camelyon17_loo_h1,1,9,P99,same trajectory: proxy - val-loss,2,29,-0.04485919483177525,0.014340648128241373,-0.010829339051939113,0.0012033004813202242,0.0006535336314953955,0.002246368579187197
camelyon17_loo_h2,2,0,P99,same trajectory: proxy - val-loss,9,7,-0.03696195202117625,0.007083814296733215,0.008758581631748003,-0.002610106520563371,0.0026722198073321005,0.012198744480693
camelyon17_loo_h2,2,1,P99,same trajectory: proxy - val-loss,16,16,0.0,0.0,0.0,0.0,0.0,0.0
camelyon17_loo_h2,2,2,P99,same trajectory: proxy - val-loss,27,27,0.0,0.0,0.0,0.0,0.0,0.0
camelyon17_loo_h2,2,3,P99,same trajectory: proxy - val-loss,5,5,0.0,0.0,0.0,0.0,0.0,0.0
camelyon17_loo_h2,2,4,P99,same trajectory: proxy - val-loss,1,1,0.0,0.0,0.0,0.0,0.0,0.0
camelyon17_loo_h2,2,5,P99,same trajectory: proxy - val-loss,22,16,-0.026854589522995354,0.002196550325068103,0.002671520570024899,-0.0007994920873796163,0.0006520416758796985,0.0003221587654848
camelyon17_loo_h2,2,6,P99,same trajectory: proxy - val-loss,3,3,0.0,0.0,0.0,0.0,0.0,0.0
camelyon17_loo_h2,2,7,P99,same trajectory: proxy - val-loss,6,28,-0.016784269159490384,0.02197607121332512,0.025257435168076603,-0.002339690079243839,0.006455839920705704,0.0410511577285216
camelyon17_loo_h2,2,8,P99,same trajectory: proxy - val-loss,11,24,-0.03589131660533673,0.0008531789539646117,0.0017338740841517097,0.0007994920873799494,0.0007781693820230959,0.015653553897785
camelyon17_loo_h2,2,9,P99,same trajectory: proxy - val-loss,15,15,0.0,0.0,0.0,0.0,0.0,0.0
camelyon17_loo_h3,3,0,P99,same trajectory: proxy - val-loss,15,12,-0.024833423514454278,0.0053442730470592,0.00891175584366699,-0.003360151848083359,0.003849207253402001,0.021042930772316996
camelyon17_loo_h3,3,1,P99,same trajectory: proxy - val-loss,22,22,0.0,0.0,0.0,0.0,0.0,0.0
camelyon17_loo_h3,3,2,P99,same trajectory: proxy - val-loss,25,25,0.0,0.0,0.0,0.0,0.0,0.0
camelyon17_loo_h3,3,3,P99,same trajectory: proxy - val-loss,28,24,-0.06605527876570016,0.029391218061143087,0.02744984979989909,0.002659051462478468,-0.00033792635141240146,0.003977879710105698
camelyon17_loo_h3,3,4,P99,same trajectory: proxy - val-loss,7,18,-0.019444900538240217,0.032420179722940395,0.02886361109339458,-0.010935456014500855,0.012678234632060699,0.0376795128931533
camelyon17_loo_h3,3,5,P99,same trajectory: proxy - val-loss,23,23,0.0,0.0,0.0,0.0,0.0,0.0
camelyon17_loo_h3,3,6,P99,same trajectory: proxy - val-loss,3,29,-0.08403500615437698,0.03938749073185091,0.027896739090550293,-0.0009747005360853933,0.0048502917489866015,0.027604590732523
camelyon17_loo_h3,3,7,P99,same trajectory: proxy - val-loss,8,8,0.0,0.0,0.0,0.0,0.0,0.0
camelyon17_loo_h3,3,8,P99,same trajectory: proxy - val-loss,3,7,-0.11887326211837201,0.0028517510246775235,0.0018151004569965934,0.008857804871792774,-0.003554306472756001,0.024343068662061103
camelyon17_loo_h3,3,9,P99,same trajectory: proxy - val-loss,28,28,0.0,0.0,0.0,0.0,0.0,0.0
camelyon17_loo_h4,4,0,P99,same trajectory: proxy - val-loss,23,23,0.0,0.0,0.0,0.0,0.0,0.0
camelyon17_loo_h4,4,1,P99,same trajectory: proxy - val-loss,5,16,-0.17103529470032608,0.009943292356653893,0.003487087238319392,0.009488686275103575,-0.003265577042240904,0.032927027319076305
camelyon17_loo_h4,4,2,P99,same trajectory: proxy - val-loss,11,11,0.0,0.0,0.0,0.0,0.0,0.0
camelyon17_loo_h4,4,3,P99,same trajectory: proxy - val-loss,10,27,-0.03208820543612445,0.017438643370544016,0.016447329118068288,-0.009624996213613013,0.006474765092234602,0.018849397261227897
camelyon17_loo_h4,4,4,P99,same trajectory: proxy - val-loss,27,29,-0.047742132272105664,0.012564328148014697,0.01173689912585238,-0.003460757883258392,0.0029712797265549,-0.001210298910647
camelyon17_loo_h4,4,5,P99,same trajectory: proxy - val-loss,27,27,0.0,0.0,0.0,0.0,0.0,0.0
camelyon17_loo_h4,4,6,P99,same trajectory: proxy - val-loss,21,30,-0.050429654540494084,0.0033712555478010997,0.00440467300625641,-0.0026428982522036515,0.001410913185985102,-0.0086900750029078
camelyon17_loo_h4,4,7,P99,same trajectory: proxy - val-loss,26,28,-0.014002219005663674,0.010847805361907298,0.007851977984909914,-0.0025595977342259824,0.0018288338567359966,0.008401708447072099
camelyon17_loo_h4,4,8,P99,same trajectory: proxy - val-loss,15,15,0.0,0.0,0.0,0.0,0.0,0.0
camelyon17_loo_h4,4,9,P99,same trajectory: proxy - val-loss,17,17,0.0,0.0,0.0,0.0,0.0,0.0
camelyon17_loo_h0,0,0,P95,workflow: proxy - baseline,10,30,-0.18421053275089372,0.060962358158391294,0.04019090821106239,-0.009246607393542328,0.006176114711620002,-0.0012494183373040028
camelyon17_loo_h0,0,1,P95,workflow: proxy - baseline,12,18,-0.2581206539033643,0.036837630326358506,0.020975534290531422,0.0024894712213382464,-0.0015403914707335029,0.0024682966948889017
camelyon17_loo_h0,0,2,P95,workflow: proxy - baseline,4,6,-0.1774604958330368,-0.010926528163304805,-0.013793186526971285,0.011530182498829977,-0.009549909234787698,-0.011569023548183802
camelyon17_loo_h0,0,3,P95,workflow: proxy - baseline,6,24,-0.1602714433664406,0.05624239402145639,0.03672408116086959,-0.0043238184370612,0.004493047525770802,0.0015347886619992007
camelyon17_loo_h0,0,4,P95,workflow: proxy - baseline,26,26,-0.14400380745980224,0.020261852966574206,0.015430076850597801,0.0019466541881143495,-0.0017869488510194043,-0.002714819563521799
camelyon17_loo_h0,0,5,P95,workflow: proxy - baseline,27,26,-0.1950352714943786,0.046070420381781996,0.03461207809561309,-0.009602246139447823,0.005396291161562303,-0.009432016456443398
camelyon17_loo_h0,0,6,P95,workflow: proxy - baseline,22,28,-0.19015737385030096,0.003977376989031722,0.0063976289018120025,0.0031633130556854017,-0.0029086037613626006,-0.0015565178428543006
camelyon17_loo_h0,0,7,P95,workflow: proxy - baseline,2,30,-0.16477903014394402,0.06698043607509419,0.05438112860150979,-0.024277023865231784,0.0167629536605818,-0.0051094337230879
camelyon17_loo_h0,0,8,P95,workflow: proxy - baseline,1,24,-0.08365321581597374,0.025800362517432424,0.01897315219367779,-0.009265325222273968,0.005001390331508197,-0.002177355489355201
camelyon17_loo_h0,0,9,P95,workflow: proxy - baseline,1,30,-0.1118624823016201,0.02895130077884142,0.020716250726406482,-0.009302760879737915,0.005776716220642603,0.006120569380679699
