seed,selector,selected_regime,selected_epoch,fallback_to_baseline,val_proxy_loss,val_standard_loss,test_overall_acc,test_overall_loss,test_brier,test_ece,test_wilds_wg_acc,test_wilds_wg_loss,test_wilds_wg_brier,test_wilds_wg_ece,test_wilds_wg_groups
4,proxy_only,erm_softclip_p95_a10_cc,3,0,0.22049984335899353,0.46653294563293457,0.9233080683500022,0.30919885635375977,0.0711188224740037,0.06774972217925121,0.5246031746031746,2.146855592727661,0.4498764723886063,0.4504914267911372,16
4,val_loss_only,erm_softclip_p95_a10_cc,3,0,0.22049984335899353,0.46653294563293457,0.9233080683500022,0.30919885635375977,0.0711188224740037,0.06774972217925121,0.5246031746031746,2.146855592727661,0.4498764723886063,0.4504914267911372,16
4,guardrail_1.25,erm,1,1,0.3074975311756134,0.3074975311756134,0.9274341839709378,0.1906813085079193,0.05481072081533042,0.025089793718231307,0.43174603174603177,1.4552370309829712,0.41773573998136687,0.3866318167035722,16
4,fixed10_baseline,erm,10,0,0.9469094276428223,0.9469094276428223,0.9193389245189936,0.5309584736824036,0.07875076858408318,0.07807207254782043,0.4288461538461538,4.092056751251221,0.5558853037599601,0.559722262365824,16
4,fixed10_softclip,erm_softclip_p95_a10_cc,10,0,0.2951931953430176,0.9748276472091675,0.9163265611218251,0.5950379371643066,0.0826708569828899,0.08247337473413988,0.4738095238095238,4.268416881561279,0.5220061373832655,0.5218923397614107,16
5,baseline,erm,1,0,0.2878900170326233,0.2878900170326233,0.9268436710469271,0.19081512093544006,0.055032040326551505,0.021637242459165748,0.5007936507936508,1.3150771856307983,0.36935769169411853,0.3228628818627668,16
5,proxy_only,erm_softclip_p95_a10_cc,3,0,0.22113707661628723,0.458469957113266,0.9218504731578239,0.32363826036453247,0.07318168557451396,0.06862350109805594,0.5349206349206349,1.8544491529464722,0.4250264892798802,0.4371786002408697,16
5,val_loss_only,erm_softclip_p95_a10_cc,1,0,0.23010310530662537,0.442414790391922,0.9239882794396854,0.2756103277206421,0.06885799852077217,0.06382507989357662,0.4523809523809524,2.218557596206665,0.5068687285798095,0.49848948965038486,16
5,guardrail_1.25,erm,1,1,0.2878900170326233,0.2878900170326233,0.9268436710469271,0.19081512093544006,0.055032040326551505,0.021637242459165748,0.5007936507936508,1.3150771856307983,0.36935769169411853,0.3228628818627668,16
5,fixed10_baseline,erm,10,0,1.0231757164001465,1.0231757164001465,0.9181354741295541,0.5776867866516113,0.08050413017755058,0.08015577400747555,0.4658881376767056,4.2924604415893555,0.5270703994931846,0.5282970243696133,16
