condition,regime,seed,tag,epoch,val_ce,gce_proxy,tail_worst_cvar,tail_within_cvar,oracle_wg_acc,rw_tail_core,test_loss,test_acc,test_brier,test_ece
baseline_selected,erm,2,h0_do0.0_lr0.001_wd0.0001_bs512_ep30_v11ermsoftclipfix_cam_10s,3,0.23541970551013947,0.14930107056834474,5.3479083776474,0.3976408891449996,0.8984455958549222,0.44415711054477053,0.2153029004907487,0.9165001058151292,0.06320828544088233,0.011777292397025099
gce_proxy_selected,erm_gce_q07_cam,2,h0_do0.0_lr0.001_wd0.0001_bs512_ep30_v29gcefix_cam_pilot3s,12,0.3099451959133148,0.1233019484949763,10.739869117736816,0.5105374847967462,0.9077720207253888,0.3449424555683206,0.25034372704916225,0.9210854280809838,0.06196851483082816,0.03697687105870802
gce_val_loss_selected,erm_gce_q07_cam,2,h0_do0.0_lr0.001_wd0.0001_bs512_ep30_v29gcefix_cam_pilot3s,3,0.2759653925895691,0.13831669362380763,8.013031363487244,0.6247183175309328,0.8891191709844559,0.4021596124061249,0.24063485922055827,0.910421614503727,0.06785936083597575,0.025306609950972822
baseline_fixed30,erm,2,h0_do0.0_lr0.001_wd0.0001_bs512_ep30_v11ermsoftclipfix_cam_10s,30,0.26654767990112305,0.1429422176859976,7.244265913963318,0.3963108618289002,0.8995169082125604,0.3827455328750263,0.23494312304879256,0.909798480965034,0.06770891752838241,0.016182095926211323
gce_fixed30,erm_gce_q07_cam,2,h0_do0.0_lr0.001_wd0.0001_bs512_ep30_v29gcefix_cam_pilot3s,30,0.3798143267631531,0.12633948069307183,13.486409664154053,0.5917347343300994,0.8995169082125604,0.30803341277821583,0.29950529978808327,0.917299597902509,0.06691506444088384,0.04709066384654528
baseline_selected,erm,3,h0_do0.0_lr0.001_wd0.0001_bs512_ep30_v11ermsoftclipfix_cam_10s,4,0.23548561334609985,0.1459532175881126,5.544679284095764,0.3713023806719111,0.9015544041450776,0.43252394010427714,0.21643286008138068,0.9159122439861734,0.06363659520492115,0.0108137275745244
gce_proxy_selected,erm_gce_q07_cam,3,h0_do0.0_lr0.001_wd0.0001_bs512_ep30_v29gcefix_cam_pilot3s,15,0.3268519639968872,0.12211075917875017,11.715726613998411,0.5329708919821958,0.9056994818652848,0.3361716797915301,0.2601831160162871,0.9226491405460061,0.0616042154283966,0.039049445946976236
gce_val_loss_selected,erm_gce_q07_cam,3,h0_do0.0_lr0.001_wd0.0001_bs512_ep30_v29gcefix_cam_pilot3s,2,0.27674829959869385,0.14636841727821195,7.356575727462768,0.6755699227577843,0.8797927461139896,0.4230040933812839,0.24300819328144574,0.9064359113034073,0.07022377593788051,0.019469699075174277
baseline_fixed30,erm,3,h0_do0.0_lr0.001_wd0.0001_bs512_ep30_v11ermsoftclipfix_cam_10s,30,0.2702009677886963,0.14399052992125405,7.45855712890625,0.4036890789704938,0.8995169082125604,0.38083528050772625,0.23032433469728192,0.912984692077974,0.0658370877027865,0.015431393735763754
gce_fixed30,erm_gce_q07_cam,3,h0_do0.0_lr0.001_wd0.0001_bs512_ep30_v29gcefix_cam_pilot3s,30,0.3806454539299011,0.12673966232808712,13.446670293807983,0.5895262034188087,0.8995169082125604,0.3063120145559368,0.29662744892295456,0.9183224774848919,0.06611315449826707,0.04652408635289714
baseline_selected,erm,4,h0_do0.0_lr0.001_wd0.0001_bs512_ep30_v11ermsoftclipfix_cam_10s,7,0.2372441589832306,0.1419091129407253,5.805401682853699,0.3209398214242368,0.9082125603864736,0.4126853045330824,0.2110005411301534,0.9188515531309521,0.06156899090738649,0.009488718081849281
gce_proxy_selected,erm_gce_q07_cam,4,h0_do0.0_lr0.001_wd0.0001_bs512_ep30_v29gcefix_cam_pilot3s,13,0.3162941336631775,0.1219983542395942,11.113460302352903,0.5116527655169656,0.9046632124352332,0.34179569330746595,0.2571914723430421,0.9210971853175629,0.06240202758824564,0.03820379031508965
gce_val_loss_selected,erm_gce_q07_cam,4,h0_do0.0_lr0.001_wd0.0001_bs512_ep30_v29gcefix_cam_pilot3s,4,0.2794918417930603,0.13230540735784918,8.741714239120483,0.5998668564249967,0.8901554404145078,0.39194619738817127,0.24311750679473978,0.9127260328732335,0.06690305101369068,0.029269404525666416
baseline_fixed30,erm,4,h0_do0.0_lr0.001_wd0.0001_bs512_ep30_v11ermsoftclipfix_cam_10s,30,0.27345311641693115,0.1453368722362127,7.439459204673767,0.41331347623625053,0.8966183574879227,0.37768291428156514,0.23323421525218901,0.9118795118395372,0.066768033092263,0.01651811775029527
gce_fixed30,erm_gce_q07_cam,4,h0_do0.0_lr0.001_wd0.0001_bs512_ep30_v29gcefix_cam_pilot3s,30,0.3816262483596802,0.1266577877749219,13.619933366775513,0.5950138693213417,0.8985507246376812,0.30727087112731516,0.29687438601482496,0.9186987090554236,0.06589024496325234,0.046489156035055566
baseline_selected,erm,5,h0_do0.0_lr0.001_wd0.0001_bs512_ep30_v11ermsoftclipfix_cam_10s,3,0.23346653580665588,0.1488083994774496,5.148017406463623,0.392967838909944,0.8994818652849741,0.44562284729401325,0.215962023482668,0.9158887295130153,0.0635268241252275,0.011647807003417084
gce_proxy_selected,erm_gce_q07_cam,5,h0_do0.0_lr0.001_wd0.0001_bs512_ep30_v29gcefix_cam_pilot3s,12,0.31224164366722107,0.12287902831328039,10.868216037750244,0.5053878758611066,0.9056994818652848,0.34299309653456755,0.25237706142198224,0.9205093234886073,0.06242423914065942,0.037038328370513046
gce_val_loss_selected,erm_gce_q07_cam,5,h0_do0.0_lr0.001_wd0.0001_bs512_ep30_v29gcefix_cam_pilot3s,3,0.2763141989707947,0.13774611703669018,8.026304125785828,0.6314195254611947,0.8891191709844559,0.4038601222505304,0.2406431015575451,0.91051567239636,0.06775008744427465,0.02580005040394687
baseline_fixed30,erm,5,h0_do0.0_lr0.001_wd0.0001_bs512_ep30_v11ermsoftclipfix_cam_10s,30,0.27054259181022644,0.14627133077560617,7.126064300537109,0.4173937239341051,0.8869565217391304,0.3826185645543963,0.23749985591711273,0.9084699132315941,0.06873635060111391,0.01689006830500666
