"fold","holdout_hospital","level","selection_policy","regime","seed","tag","epoch","chosen_val_overall_loss","chosen_val_overall_acc","chosen_proxy_metric","chosen_proxy_metric_col"
"camelyon17_loo_h3","3","P99","val_loss_only","rcgdro_softclip_p99_a10_cam_loo_h3cal","0","h0_do0.0_lr0.001_wd0.0001_bs512_ep30_K64_eta0.1_clip2145_clipa10","12","0.1814986349367491","0.94","0.7108992678780908","proxy_worst_loss_clip_min"
"camelyon17_loo_h3","3","baseline","baseline","rcgdro","0","h0_do0.0_lr0.001_wd0.0001_bs512_ep30_K64_eta0.1","2","0.2263901750855802","0.9345","0.7473345611776625","proxy_worst_loss_min"
"camelyon17_loo_h3","3","P95","proxy_only","rcgdro_softclip_p95_a10_cam_loo_h3cal","1","h0_do0.0_lr0.001_wd0.0001_bs512_ep30_K64_eta0.1_clip782_clipa10","6","0.2458182786860502","0.936","0.5401234022559434","proxy_worst_loss_clip_min"
"camelyon17_loo_h3","3","P95","val_loss_only","rcgdro_softclip_p95_a10_cam_loo_h3cal","1","h0_do0.0_lr0.001_wd0.0001_bs512_ep30_K64_eta0.1_clip782_clipa10","29","0.179992484481384","0.9435","0.5434894776180619","proxy_worst_loss_clip_min"
"camelyon17_loo_h3","3","P97","proxy_only","rcgdro_softclip_p97_a10_cam_loo_h3cal","1","h0_do0.0_lr0.001_wd0.0001_bs512_ep30_K64_eta0.1_clip1185_clipa10","10","0.1640429917793007","0.9465","0.5814028527399292","proxy_worst_loss_clip_min"
"camelyon17_loo_h3","3","P97","val_loss_only","rcgdro_softclip_p97_a10_cam_loo_h3cal","1","h0_do0.0_lr0.001_wd0.0001_bs512_ep30_K64_eta0.1_clip1185_clipa10","10","0.1640429917793007","0.9465","0.5814028527399292","proxy_worst_loss_clip_min"
"camelyon17_loo_h3","3","P99","proxy_only","rcgdro_softclip_p99_a10_cam_loo_h3cal","1","h0_do0.0_lr0.001_wd0.0001_bs512_ep30_K64_eta0.1_clip2145_clipa10","22","0.1732696825696621","0.939","0.680640941538981","proxy_worst_loss_clip_min"
"camelyon17_loo_h3","3","P99","val_loss_only","rcgdro_softclip_p99_a10_cam_loo_h3cal","1","h0_do0.0_lr0.001_wd0.0001_bs512_ep30_K64_eta0.1_clip2145_clipa10","22","0.1732696825696621","0.939","0.680640941538981","proxy_worst_loss_clip_min"
"camelyon17_loo_h3","3","baseline","baseline","rcgdro","1","h0_do0.0_lr0.001_wd0.0001_bs512_ep30_K64_eta0.1","4","0.2406806201278705","0.93","0.693994200868266","proxy_worst_loss_min"
"camelyon17_loo_h3","3","P95","proxy_only","rcgdro_softclip_p95_a10_cam_loo_h3cal","2","h0_do0.0_lr0.001_wd0.0001_bs512_ep30_K64_eta0.1_clip782_clipa10","4","0.2141898204126474","0.9315","0.5172729974113015","proxy_worst_loss_clip_min"
"camelyon17_loo_h3","3","P95","val_loss_only","rcgdro_softclip_p95_a10_cam_loo_h3cal","2","h0_do0.0_lr0.001_wd0.0001_bs512_ep30_K64_eta0.1_clip782_clipa10","17","0.1931405082579508","0.931","0.6418108666981841","proxy_worst_loss_clip_min"
"camelyon17_loo_h3","3","P97","proxy_only","rcgdro_softclip_p97_a10_cam_loo_h3cal","2","h0_do0.0_lr0.001_wd0.0001_bs512_ep30_K64_eta0.1_clip1185_clipa10","10","0.1653093853629956","0.9455","0.5779958458170269","proxy_worst_loss_clip_min"
"camelyon17_loo_h3","3","P97","val_loss_only","rcgdro_softclip_p97_a10_cam_loo_h3cal","2","h0_do0.0_lr0.001_wd0.0001_bs512_ep30_K64_eta0.1_clip1185_clipa10","10","0.1653093853629956","0.9455","0.5779958458170269","proxy_worst_loss_clip_min"
"camelyon17_loo_h3","3","P99","proxy_only","rcgdro_softclip_p99_a10_cam_loo_h3cal","2","h0_do0.0_lr0.001_wd0.0001_bs512_ep30_K64_eta0.1_clip2145_clipa10","25","0.1737514471929791","0.9425","0.6592201944768299","proxy_worst_loss_clip_min"
"camelyon17_loo_h3","3","P99","val_loss_only","rcgdro_softclip_p99_a10_cam_loo_h3cal","2","h0_do0.0_lr0.001_wd0.0001_bs512_ep30_K64_eta0.1_clip2145_clipa10","25","0.1737514471929791","0.9425","0.6592201944768299","proxy_worst_loss_clip_min"
"camelyon17_loo_h3","3","baseline","baseline","rcgdro","2","h0_do0.0_lr0.001_wd0.0001_bs512_ep30_K64_eta0.1","2","0.2138717562289566","0.9405","0.696646044084004","proxy_worst_loss_min"
"camelyon17_loo_h3","3","P95","proxy_only","rcgdro_softclip_p95_a10_cam_loo_h3cal","3","h0_do0.0_lr0.001_wd0.0001_bs512_ep30_K64_eta0.1_clip782_clipa10","26","0.240058011471419","0.94","0.5125149452098394","proxy_worst_loss_clip_min"
"camelyon17_loo_h3","3","P95","val_loss_only","rcgdro_softclip_p95_a10_cam_loo_h3cal","3","h0_do0.0_lr0.001_wd0.0001_bs512_ep30_K64_eta0.1_clip782_clipa10","8","0.1751910025059949","0.9445","0.5228616066989544","proxy_worst_loss_clip_min"
"camelyon17_loo_h3","3","P97","proxy_only","rcgdro_softclip_p97_a10_cam_loo_h3cal","3","h0_do0.0_lr0.001_wd0.0001_bs512_ep30_K64_eta0.1_clip1185_clipa10","14","0.1623434610121513","0.945","0.5905513044196149","proxy_worst_loss_clip_min"
"camelyon17_loo_h3","3","P97","val_loss_only","rcgdro_softclip_p97_a10_cam_loo_h3cal","3","h0_do0.0_lr0.001_wd0.0001_bs512_ep30_K64_eta0.1_clip1185_clipa10","14","0.1623434610121513","0.945","0.5905513044196149","proxy_worst_loss_clip_min"
"camelyon17_loo_h3","3","P99","proxy_only","rcgdro_softclip_p99_a10_cam_loo_h3cal","3","h0_do0.0_lr0.001_wd0.0001_bs512_ep30_K64_eta0.1_clip2145_clipa10","28","0.2032396632577132","0.9445","0.6933694199166534","proxy_worst_loss_clip_min"
"camelyon17_loo_h3","3","P99","val_loss_only","rcgdro_softclip_p99_a10_cam_loo_h3cal","3","h0_do0.0_lr0.001_wd0.0001_bs512_ep30_K64_eta0.1_clip2145_clipa10","24","0.1738484451965701","0.9385","0.7594246986823535","proxy_worst_loss_clip_min"
