test_loss,test_acc,test_brier,test_ece,teacher_tail_cvar,objective,regime,seed,tag,policy,epochs,mean_epoch,val_loss_epoch,val_acc_epoch,proxy_epoch,chosen_val_loss,chosen_val_acc
0.2834175095807372,0.9202036353375502,0.06415325201384428,0.044051042640276566,12.412331418769533,SoftClip P95,erm_softclip_p95_a10_cam,5,h0_do0.0_lr0.001_wd0.0001_bs512_ep30_v11ermsoftclipfix_cam_10s,avg_last5,26/27/28/29/30,28.0,5,27,10,,
0.24466186048148325,0.9160415735885438,0.0649940125121885,0.03296887593530495,9.138484404362373,SoftClip P95,erm_softclip_p95_a10_cam,5,h0_do0.0_lr0.001_wd0.0001_bs512_ep30_v11ermsoftclipfix_cam_10s,avg_val_loss5,3/4/5/6/7,5.0,5,27,10,,
0.25434024036098574,0.9207797399299269,0.06262719295452439,0.03812469782395858,10.48651187431076,SoftClip P95,erm_softclip_p95_a10_cam,6,h0_do0.0_lr0.001_wd0.0001_bs512_ep30_v11ermsoftclipfix_cam_10s,proxy_best,10,10.0,6,29,10,0.3051166236400604,0.9145
0.24880741351815117,0.9163825334493381,0.06515812568142729,0.0351992303722502,9.381654540007952,SoftClip P95,erm_softclip_p95_a10_cam,6,h0_do0.0_lr0.001_wd0.0001_bs512_ep30_v11ermsoftclipfix_cam_10s,val_loss_best,6,6.0,6,29,10,0.2919404208660126,0.911
0.28588275558712717,0.9197451031109648,0.0646838408769513,0.04440537867789684,12.569762795567641,SoftClip P95,erm_softclip_p95_a10_cam,6,h0_do0.0_lr0.001_wd0.0001_bs512_ep30_v11ermsoftclipfix_cam_10s,val_acc_best,29,29.0,6,29,10,0.35309112071990967,0.915
0.28429607118267214,0.920485809015449,0.06411071765919885,0.04393026290930983,12.656267581775667,SoftClip P95,erm_softclip_p95_a10_cam,6,h0_do0.0_lr0.001_wd0.0001_bs512_ep30_v11ermsoftclipfix_cam_10s,avg_last5,26/27/28/29/30,28.0,6,29,10,,
0.24823034378819872,0.9175229853975122,0.06442636155798508,0.035136940155636204,9.635666014546754,SoftClip P95,erm_softclip_p95_a10_cam,6,h0_do0.0_lr0.001_wd0.0001_bs512_ep30_v11ermsoftclipfix_cam_10s,avg_val_loss5,4/5/6/7/8,6.0,6,29,10,,
0.2897198982037717,0.9173466268488254,0.06645327754215938,0.04528216386270051,12.607524222250653,SoftClip P95,erm_softclip_p95_a10_cam,7,h0_do0.0_lr0.001_wd0.0001_bs512_ep30_v11ermsoftclipfix_cam_10s,proxy_best,28,28.0,5,26,28,0.3579067885875702,0.9135
0.24467752231948778,0.917617043290145,0.06417287351023168,0.033108343387373444,9.355749740792431,SoftClip P95,erm_softclip_p95_a10_cam,7,h0_do0.0_lr0.001_wd0.0001_bs512_ep30_v11ermsoftclipfix_cam_10s,val_loss_best,5,5.0,5,26,28,0.29763922095298767,0.906
0.278946872449297,0.9217908622757307,0.06318021644818082,0.042886222907671336,12.186943320164428,SoftClip P95,erm_softclip_p95_a10_cam,7,h0_do0.0_lr0.001_wd0.0001_bs512_ep30_v11ermsoftclipfix_cam_10s,val_acc_best,26,26.0,5,26,28,0.344214528799057,0.9145
0.2854612583811443,0.9196275307451737,0.06477757009265897,0.044219760773756694,12.52269450851753,SoftClip P95,erm_softclip_p95_a10_cam,7,h0_do0.0_lr0.001_wd0.0001_bs512_ep30_v11ermsoftclipfix_cam_10s,avg_last5,26/27/28/29/30,28.0,5,26,28,,
0.24378700322090527,0.9177816446022526,0.06401522137606995,0.03268646172611894,9.359184846850717,SoftClip P95,erm_softclip_p95_a10_cam,7,h0_do0.0_lr0.001_wd0.0001_bs512_ep30_v11ermsoftclipfix_cam_10s,avg_val_loss5,3/4/5/6/7,5.0,5,26,28,,
0.2533972446646958,0.9211912432101959,0.06232785065618816,0.037747685370680545,10.676324208856846,SoftClip P95,erm_softclip_p95_a10_cam,8,h0_do0.0_lr0.001_wd0.0001_bs512_ep30_v11ermsoftclipfix_cam_10s,proxy_best,11,11.0,4,12,11,0.3109862804412842,0.913
0.2460144936354388,0.9135490394337715,0.06666324477979799,0.03152553106665512,8.661239385909912,SoftClip P95,erm_softclip_p95_a10_cam,8,h0_do0.0_lr0.001_wd0.0001_bs512_ep30_v11ermsoftclipfix_cam_10s,val_loss_best,4,4.0,4,12,11,0.29292115569114685,0.903
0.2575251717767353,0.920685682037294,0.06275916059847077,0.038344024544812505,10.786664222841093,SoftClip P95,erm_softclip_p95_a10_cam,8,h0_do0.0_lr0.001_wd0.0001_bs512_ep30_v11ermsoftclipfix_cam_10s,val_acc_best,12,12.0,4,12,11,0.3154551386833191,0.9145
0.2833084102581828,0.9210383991346673,0.06381020418997146,0.04375008481731546,12.620864866163245,SoftClip P95,erm_softclip_p95_a10_cam,8,h0_do0.0_lr0.001_wd0.0001_bs512_ep30_v11ermsoftclipfix_cam_10s,avg_last5,26/27/28/29/30,28.0,4,12,11,,
0.24326539598205232,0.9145836762527335,0.06589653515392943,0.030375726220708936,8.537493786517139,SoftClip P95,erm_softclip_p95_a10_cam,8,h0_do0.0_lr0.001_wd0.0001_bs512_ep30_v11ermsoftclipfix_cam_10s,avg_val_loss5,2/3/4/5/6,4.0,4,12,11,,
0.28997485397838973,0.9173701413219837,0.06664629529106356,0.04540872404804726,12.39294243745335,SoftClip P95,erm_softclip_p95_a10_cam,9,h0_do0.0_lr0.001_wd0.0001_bs512_ep30_v11ermsoftclipfix_cam_10s,proxy_best,29,29.0,4,14,29,0.3577701449394226,0.9115
0.2487976257209237,0.9134549815411386,0.06686686455130322,0.03254036398703727,8.794403852475277,SoftClip P95,erm_softclip_p95_a10_cam,9,h0_do0.0_lr0.001_wd0.0001_bs512_ep30_v11ermsoftclipfix_cam_10s,val_loss_best,4,4.0,4,14,29,0.2954331040382385,0.903
0.25991220961055955,0.9226491405460061,0.06165767387994907,0.039282801522038335,11.068363299802634,SoftClip P95,erm_softclip_p95_a10_cam,9,h0_do0.0_lr0.001_wd0.0001_bs512_ep30_v11ermsoftclipfix_cam_10s,val_acc_best,14,14.0,4,14,29,0.3194900453090668,0.9145
0.28320265907140935,0.9206504103275566,0.06406544851457638,0.043696944400241425,12.545906279834574,SoftClip P95,erm_softclip_p95_a10_cam,9,h0_do0.0_lr0.001_wd0.0001_bs512_ep30_v11ermsoftclipfix_cam_10s,avg_last5,26/27/28/29/30,28.0,4,14,29,,
0.2459355031724754,0.9144308321772051,0.06613664161395985,0.031214550993320263,8.667576530181506,SoftClip P95,erm_softclip_p95_a10_cam,9,h0_do0.0_lr0.001_wd0.0001_bs512_ep30_v11ermsoftclipfix_cam_10s,avg_val_loss5,2/3/4/5/6,4.0,4,14,29,,
0.2509054863820002,0.9231782161920662,0.0608473921021395,0.036653126090433606,11.101026622115532,GCE q=0.7,erm_gce_q07_cam,0,h0_do0.0_lr0.001_wd0.0001_bs512_ep30_v29gcefix_cam_pilot3s,proxy_best,12,12.0,3,12,12,0.3134421706199646,0.9135
0.23829346270180438,0.9121734427540151,0.06676304969920205,0.02374296005843602,8.316849239641453,GCE q=0.7,erm_gce_q07_cam,0,h0_do0.0_lr0.001_wd0.0001_bs512_ep30_v29gcefix_cam_pilot3s,val_loss_best,3,3.0,3,12,12,0.28247252106666565,0.9015
0.2509054863820002,0.9231782161920662,0.0608473921021395,0.036653126090433606,11.101026622115532,GCE q=0.7,erm_gce_q07_cam,0,h0_do0.0_lr0.001_wd0.0001_bs512_ep30_v29gcefix_cam_pilot3s,val_acc_best,12,12.0,3,12,12,0.3134421706199646,0.9135
0.2929336463534353,0.918733980765161,0.06574271494304476,0.045732202204504455,13.258356474689922,GCE q=0.7,erm_gce_q07_cam,0,h0_do0.0_lr0.001_wd0.0001_bs512_ep30_v29gcefix_cam_pilot3s,avg_last5,26/27/28/29/30,28.0,3,12,12,,
0.23282368361726719,0.9141369012627272,0.06510329990006913,0.02152173578920658,8.273363009728214,GCE q=0.7,erm_gce_q07_cam,0,h0_do0.0_lr0.001_wd0.0001_bs512_ep30_v29gcefix_cam_pilot3s,avg_val_loss5,1/2/3/4/5,3.0,3,12,12,,
0.2662026838595874,0.9199920050791262,0.06364335773414999,0.04027850924660484,11.386722064876379,GCE q=0.7,erm_gce_q07_cam,1,h0_do0.0_lr0.001_wd0.0001_bs512_ep30_v29gcefix_cam_pilot3s,proxy_best,17,17.0,3,25,17,0.32826849818229675,0.9105
0.23855457673381225,0.91237331577586,0.06677299611537404,0.024228715784711113,8.315552249761708,GCE q=0.7,erm_gce_q07_cam,1,h0_do0.0_lr0.001_wd0.0001_bs512_ep30_v29gcefix_cam_pilot3s,val_loss_best,3,3.0,3,25,17,0.2784269452095032,0.906
0.289614136229855,0.9182989630117337,0.065972614363045,0.04560847757585743,12.623691457622593,GCE q=0.7,erm_gce_q07_cam,1,h0_do0.0_lr0.001_wd0.0001_bs512_ep30_v29gcefix_cam_pilot3s,val_acc_best,25,25.0,3,25,17,0.3578489422798157,0.9125
0.2953535066466326,0.9176405577633033,0.0664943349061678,0.04629418431895862,13.244987896347666,GCE q=0.7,erm_gce_q07_cam,1,h0_do0.0_lr0.001_wd0.0001_bs512_ep30_v29gcefix_cam_pilot3s,avg_last5,26/27/28/29/30,28.0,3,25,17,,
0.2333868866438007,0.9135843111435088,0.06552743806628775,0.021165053430379444,8.25848551918823,GCE q=0.7,erm_gce_q07_cam,1,h0_do0.0_lr0.001_wd0.0001_bs512_ep30_v29gcefix_cam_pilot3s,avg_val_loss5,1/2/3/4/5,3.0,3,25,17,,
0.250343727845167,0.9210854280809838,0.06196851510025884,0.0369768710154702,10.739869057864754,GCE q=0.7,erm_gce_q07_cam,2,h0_do0.0_lr0.001_wd0.0001_bs512_ep30_v29gcefix_cam_pilot3s,proxy_best,12,12.0,3,29,12,0.3099451959133148,0.9105
0.24063485907610352,0.910421614503727,0.06785936049059338,0.025306610015989273,8.01303051171772,GCE q=0.7,erm_gce_q07_cam,2,h0_do0.0_lr0.001_wd0.0001_bs512_ep30_v29gcefix_cam_pilot3s,val_loss_best,3,3.0,3,29,12,0.2759653925895691,0.9025
0.29525509106324455,0.9185811366896325,0.0659639513220515,0.04623974937706143,13.099859791097908,GCE q=0.7,erm_gce_q07_cam,2,h0_do0.0_lr0.001_wd0.0001_bs512_ep30_v29gcefix_cam_pilot3s,val_acc_best,29,29.0,3,29,12,0.3708347678184509,0.912
0.292933939950818,0.9186751945822654,0.06575591732761739,0.04575341874486878,13.199113166497222,GCE q=0.7,erm_gce_q07_cam,2,h0_do0.0_lr0.001_wd0.0001_bs512_ep30_v29gcefix_cam_pilot3s,avg_last5,26/27/28/29/30,28.0,3,29,12,,
0.23467844721019038,0.912679003926917,0.06611008263520256,0.02257128316104714,8.044078659287898,GCE q=0.7,erm_gce_q07_cam,2,h0_do0.0_lr0.001_wd0.0001_bs512_ep30_v29gcefix_cam_pilot3s,avg_val_loss5,1/2/3/4/5,3.0,3,29,12,,
0.2601831163397344,0.9226491405460061,0.0616042153603488,0.03904944534231794,11.715726345269903,GCE q=0.7,erm_gce_q07_cam,3,h0_do0.0_lr0.001_wd0.0001_bs512_ep30_v29gcefix_cam_pilot3s,proxy_best,15,15.0,2,15,15,0.3268519639968872,0.9125
