dataset,regime,seed,tag,epoch,split,family,bank,partition,within_cvar_mean,within_cvar_weighted,worst_cell_cvar,worst_cell_mean_loss,worst_cell_mean_acc,oracle_wg_acc
camelyon17,rcgdro_finetune,0,finetune_lr0.0001_bs128_ep10_frac0.2_scivalid10s,9,val,decoupled_proj,A,0,2.8613816905021663,2.8613816905021667,6.764021849632263,0.7380561280250549,0.86,0.9352657004830918
camelyon17,rcgdro_finetune,0,finetune_lr0.0001_bs128_ep10_frac0.2_scivalid10s,9,val,decoupled_proj,A,1,2.9252691531181334,2.9252691531181334,5.585092163085937,0.5873974418640137,0.89,0.9352657004830918
camelyon17,rcgdro_finetune,0,finetune_lr0.0001_bs128_ep10_frac0.2_scivalid10s,9,val,decoupled_proj,A,2,2.9446362757682794,2.9446362757682802,4.58246419429779,0.46501022309064866,0.905,0.9352657004830918
camelyon17,rcgdro_finetune,0,finetune_lr0.0001_bs128_ep10_frac0.2_scivalid10s,9,val,decoupled_proj,A,3,2.548986670970917,2.548986670970917,7.825974488258362,1.1862432280182837,0.77,0.9352657004830918
camelyon17,rcgdro_finetune,0,finetune_lr0.0001_bs128_ep10_frac0.2_scivalid10s,10,val,decoupled_proj,A,0,3.022430062294007,3.0224300622940063,7.834742259979248,0.8509699347615242,0.865,0.9181347150259067
camelyon17,rcgdro_finetune,0,finetune_lr0.0001_bs128_ep10_frac0.2_scivalid10s,10,val,decoupled_proj,A,1,3.134124207496643,3.134124207496643,4.673863554000855,0.4842973932623863,0.9,0.9181347150259067
camelyon17,rcgdro_finetune,0,finetune_lr0.0001_bs128_ep10_frac0.2_scivalid10s,10,val,decoupled_proj,A,2,3.1410077905654905,3.1410077905654905,5.068347978591919,0.5145102334022522,0.905,0.9181347150259067
camelyon17,rcgdro_finetune,0,finetune_lr0.0001_bs128_ep10_frac0.2_scivalid10s,10,val,decoupled_proj,A,3,2.6417717051506044,2.6417717051506044,9.397449636459351,1.4397784182429314,0.74,0.9181347150259067
camelyon17,rcgdro_finetune,0,finetune_lr0.0001_bs128_ep10_frac0.2_scivalid10s,1,val,decoupled_proj,B,0,1.7760214328765869,1.7760214328765869,4.266001892089844,0.523221885561943,0.85,0.8860103626943006
camelyon17,rcgdro_finetune,0,finetune_lr0.0001_bs128_ep10_frac0.2_scivalid10s,1,val,decoupled_proj,B,1,1.66918137550354,1.66918137550354,4.834641456604004,0.7640934681892395,0.745,0.8860103626943006
camelyon17,rcgdro_finetune,0,finetune_lr0.0001_bs128_ep10_frac0.2_scivalid10s,1,val,decoupled_proj,B,2,1.83331467628479,1.83331467628479,2.301838493347168,0.3090484282374382,0.885,0.8860103626943006
camelyon17,rcgdro_finetune,0,finetune_lr0.0001_bs128_ep10_frac0.2_scivalid10s,1,val,decoupled_proj,B,3,1.8174948215484616,1.8174948215484619,2.6802886962890624,0.3165468928217888,0.89,0.8860103626943006
camelyon17,rcgdro_finetune,0,finetune_lr0.0001_bs128_ep10_frac0.2_scivalid10s,2,val,decoupled_proj,B,0,2.129493906497955,2.1294939064979554,4.269863510131836,0.5085288953781127,0.86,0.910880829015544
camelyon17,rcgdro_finetune,0,finetune_lr0.0001_bs128_ep10_frac0.2_scivalid10s,2,val,decoupled_proj,B,1,2.065747721195221,2.065747721195221,4.9964840650558475,0.6479433810710907,0.825,0.910880829015544
camelyon17,rcgdro_finetune,0,finetune_lr0.0001_bs128_ep10_frac0.2_scivalid10s,2,val,decoupled_proj,B,2,2.144501383304596,2.144501383304596,3.205384373664856,0.3580424752831459,0.88,0.910880829015544
camelyon17,rcgdro_finetune,0,finetune_lr0.0001_bs128_ep10_frac0.2_scivalid10s,2,val,decoupled_proj,B,3,2.142777292728424,2.142777292728424,3.0481000900268556,0.327233619093895,0.895,0.910880829015544
camelyon17,rcgdro_finetune,0,finetune_lr0.0001_bs128_ep10_frac0.2_scivalid10s,3,val,decoupled_proj,B,0,1.9717932605743407,1.971793260574341,3.9266151428222655,0.5030392083525658,0.845,0.9181347150259067
camelyon17,rcgdro_finetune,0,finetune_lr0.0001_bs128_ep10_frac0.2_scivalid10s,3,val,decoupled_proj,B,1,1.9228151416778563,1.9228151416778565,4.791736602783203,0.6537406268715859,0.82,0.9181347150259067
camelyon17,rcgdro_finetune,0,finetune_lr0.0001_bs128_ep10_frac0.2_scivalid10s,3,val,decoupled_proj,B,2,2.0250546693801885,2.025054669380188,3.0220733642578126,0.3559202554821968,0.875,0.9181347150259067
camelyon17,rcgdro_finetune,0,finetune_lr0.0001_bs128_ep10_frac0.2_scivalid10s,3,val,decoupled_proj,B,3,2.0238197803497315,2.0238197803497315,2.7659637451171877,0.30970858931541445,0.895,0.9181347150259067
camelyon17,rcgdro_finetune,0,finetune_lr0.0001_bs128_ep10_frac0.2_scivalid10s,4,val,decoupled_proj,B,0,2.2942084527015685,2.2942084527015685,5.177731990814209,0.5527109825611114,0.88,0.917098445595855
camelyon17,rcgdro_finetune,0,finetune_lr0.0001_bs128_ep10_frac0.2_scivalid10s,4,val,decoupled_proj,B,1,2.2040793633461,2.2040793633461,6.34142837524414,0.7581941023468971,0.845,0.917098445595855
camelyon17,rcgdro_finetune,0,finetune_lr0.0001_bs128_ep10_frac0.2_scivalid10s,4,val,decoupled_proj,B,2,2.31417686700821,2.314176867008209,3.621116304397583,0.3734311157464981,0.915,0.917098445595855
camelyon17,rcgdro_finetune,0,finetune_lr0.0001_bs128_ep10_frac0.2_scivalid10s,4,val,decoupled_proj,B,3,2.308664476871491,2.3086644768714906,3.589532470703125,0.3639258936047554,0.92,0.917098445595855
camelyon17,rcgdro_finetune,0,finetune_lr0.0001_bs128_ep10_frac0.2_scivalid10s,5,val,decoupled_proj,B,0,2.411535403728485,2.411535403728485,5.20013108253479,0.5697215297818183,0.875,0.9357512953367876
camelyon17,rcgdro_finetune,0,finetune_lr0.0001_bs128_ep10_frac0.2_scivalid10s,5,val,decoupled_proj,B,1,2.3441336703300477,2.3441336703300477,6.282178783416748,0.7452076783776284,0.845,0.9357512953367876
camelyon17,rcgdro_finetune,0,finetune_lr0.0001_bs128_ep10_frac0.2_scivalid10s,5,val,decoupled_proj,B,2,2.4212156176567077,2.4212156176567077,4.167180109024048,0.44942593306303025,0.895,0.9357512953367876
camelyon17,rcgdro_finetune,0,finetune_lr0.0001_bs128_ep10_frac0.2_scivalid10s,5,val,decoupled_proj,B,3,2.4310232043266295,2.4310232043266295,3.6425302505493162,0.3715808579325676,0.905,0.9357512953367876
camelyon17,rcgdro_finetune,0,finetune_lr0.0001_bs128_ep10_frac0.2_scivalid10s,6,val,decoupled_proj,B,0,2.1992035222053525,2.199203522205353,4.527497935295105,0.4665431222319603,0.885,0.9357512953367876
camelyon17,rcgdro_finetune,0,finetune_lr0.0001_bs128_ep10_frac0.2_scivalid10s,6,val,decoupled_proj,B,1,2.1219035363197323,2.1219035363197327,5.1253046035766605,0.6337049660086632,0.85,0.9357512953367876
camelyon17,rcgdro_finetune,0,finetune_lr0.0001_bs128_ep10_frac0.2_scivalid10s,6,val,decoupled_proj,B,2,2.2071599602699274,2.207159960269928,3.159494972229004,0.3379927298426628,0.91,0.9357512953367876
camelyon17,rcgdro_finetune,0,finetune_lr0.0001_bs128_ep10_frac0.2_scivalid10s,6,val,decoupled_proj,B,3,2.2142484688758852,2.2142484688758852,3.4111783027648928,0.34848073273897173,0.91,0.9357512953367876
camelyon17,rcgdro_finetune,0,finetune_lr0.0001_bs128_ep10_frac0.2_scivalid10s,7,val,decoupled_proj,B,0,3.1921011924743654,3.1921011924743654,8.547846364974976,0.9013358011841774,0.875,0.9036269430051813
camelyon17,rcgdro_finetune,0,finetune_lr0.0001_bs128_ep10_frac0.2_scivalid10s,7,val,decoupled_proj,B,1,3.0287997198104857,3.0287997198104857,9.058664035797118,1.1629336789250373,0.825,0.9036269430051813
camelyon17,rcgdro_finetune,0,finetune_lr0.0001_bs128_ep10_frac0.2_scivalid10s,7,val,decoupled_proj,B,2,3.2664203834533687,3.266420383453369,4.588062524795532,0.47127689063549044,0.895,0.9036269430051813
camelyon17,rcgdro_finetune,0,finetune_lr0.0001_bs128_ep10_frac0.2_scivalid10s,7,val,decoupled_proj,B,3,3.26228650778532,3.2622865077853205,5.61092529296875,0.5641789469122886,0.9,0.9036269430051813
camelyon17,rcgdro_finetune,0,finetune_lr0.0001_bs128_ep10_frac0.2_scivalid10s,8,val,decoupled_proj,B,0,2.815915641784668,2.815915641784668,6.308268690109253,0.6629825127124787,0.885,0.9305699481865285
camelyon17,rcgdro_finetune,0,finetune_lr0.0001_bs128_ep10_frac0.2_scivalid10s,8,val,decoupled_proj,B,1,2.714128761291504,2.7141287612915037,6.82349214553833,0.840986407995224,0.835,0.9305699481865285
