level,seed,contrast,val_accuracy_epoch,val_loss_epoch,delta_validation_accuracy,delta_validation_loss,delta_proxy_metric,delta_loss,delta_acc,delta_ece,delta_brier,delta_teacher_tail_cvar
P97,2,same trajectory: val-accuracy - val-loss,19,3,0.009500000000000064,0.04403598355451527,-0.058504676616057905,0.016547660660853475,0.010816657652785278,0.013980859055019099,-0.005640289695858905,3.3032461404800415
P97,3,same trajectory: val-accuracy - val-loss,21,5,0.0050000000000000044,0.04897424599271649,-0.0353818788837707,0.021313248049936923,0.006454722881933828,0.009417136371301097,-0.003113852489286306,2.60568904876709
P97,4,same trajectory: val-accuracy - val-loss,22,5,0.008000000000000007,0.04882869327401296,-0.0392619729344964,0.025306354751452098,0.006301878806405203,0.010279455199350602,-0.0024907513157478994,2.6459476947784424
P97,5,same trajectory: val-accuracy - val-loss,25,3,0.008000000000000007,0.05822536629788089,-0.06145763924086023,0.02842454370284947,0.010875443835680731,0.016780183521468803,-0.004972837960360604,3.850661039352417
P97,6,same trajectory: val-accuracy - val-loss,22,6,0.0045000000000000595,0.05608525332888881,-0.030871058093290882,0.024065349102229322,0.00506736896559834,0.009011805818277204,-0.002190145827880796,2.6928813457488996
P97,7,same trajectory: val-accuracy - val-loss,26,5,0.007500000000000062,0.05868380806070761,-0.038004580793861875,0.0337007931526945,0.005137912385072996,0.011481023426182999,-0.0013719032053138014,3.033116340637207
P97,8,same trajectory: val-accuracy - val-loss,21,5,0.008000000000000007,0.04773636805041942,-0.035341580002768214,0.02362276346183509,0.006125520257718398,0.008911737508461796,-0.003045090013167495,2.604341506958008
P97,9,same trajectory: val-accuracy - val-loss,28,5,0.009000000000000008,0.0667127857303193,-0.03634608011379881,0.03404435365011199,0.006631081430620411,0.013425135372134099,-0.002313102350596008,3.2235219478607178
P99,0,same trajectory: val-accuracy - val-loss,19,4,0.0044999999999999485,0.0436849287027925,-0.011455384880333208,0.024913826357027297,-0.000764220377642344,0.01768159146007,0.0018337409006158947,2.2497719526290894
P99,1,same trajectory: val-accuracy - val-loss,27,3,0.007499999999999951,0.05432747934302157,-0.01589727413862191,0.0373777592263575,-0.001199238131069813,0.0268162502799102,0.0030223611974977,3.0130181312561035
P99,2,same trajectory: val-accuracy - val-loss,29,3,0.01100000000000001,0.06142327893667271,-0.004229830769684695,0.034029585421288006,0.0016224986479178582,0.027085636906349603,0.0010788450216936002,3.4076987504959124
P99,3,same trajectory: val-accuracy - val-loss,29,2,0.013000000000000012,0.061192931124559424,-0.03503173880969479,0.02591333134100582,0.007313001152209231,0.030717399661746803,-0.0023210534815930883,3.9966312646865845
P99,4,same trajectory: val-accuracy - val-loss,23,4,0.008499999999999952,0.0484207415424413,-0.007326095108938391,0.021980089080048698,0.002516048627930645,0.019150400948600398,-0.00027416770407139024,2.532557249069214
P99,5,same trajectory: val-accuracy - val-loss,28,3,0.009000000000000008,0.0596231049046127,-0.009141207006374996,0.03174226150116538,0.0030686387471487997,0.025752954071326502,0.00011526539869889663,3.469560503959654
P99,6,same trajectory: val-accuracy - val-loss,8,4,0.006500000000000061,0.012247996166181996,-0.013251495902849908,0.0011715289875526003,0.002939309144778468,0.006861906830481199,-0.001947583665001508,1.008478045463562
P99,7,same trajectory: val-accuracy - val-loss,26,3,0.0040000000000000036,0.05321650782298598,-0.024780247298889668,0.027121804462420213,0.0034213558445223002,0.022759183158121303,-0.00011775050180509727,3.0456867218017587
P99,8,same trajectory: val-accuracy - val-loss,27,4,0.007499999999999951,0.05973567786096759,0.0037508892048773723,0.0340415050505159,-3.527170973738336e-05,0.022621980502738802,0.001970191983985306,3.187379479408266
P99,9,same trajectory: val-accuracy - val-loss,21,3,0.010000000000000009,0.047328207764553626,-0.022256186705120695,0.01984922083760951,0.004197333458743957,0.0215003557542547,-0.0013578814940998912,3.040191888809204
